1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25
1, 1, 1.53608, 2.79456, 3.76166, 4.50364, 5.24696, 6.37129, 7.52127, 8.34195, 9.00783, 10.1104, 10.9921, 11.8839, 12.9316, 14.0787, 15.2319, 16.0483, 17.2784, 18.3429, 19.4171, 20.5911, 21.5491, 22.6684, 23.8329
1, 1, 1.20112, 2.34526, 2.97353, 4.07637, 4.05861, 5.2161, 6.43445, 6.9864, 7.41863, 8.52816, 9.34204, 9.97939, 11.1564, 12.4315, 13.6421, 14.3419, 15.6638, 17.1001, 18.0673, 19.2666, 20.464, 21.4291, 23.1794
1, 1, 1.19414, 2.00864, 2.73989, 3.61852, 3.22338, 4.27324, 5.97247, 5.84006, 6.91226, 7.27369, 7.98501, 8.6102, 9.73225, 11.2606, 12.3063, 12.9729, 14.3998, 16.4251, 17.0963, 18.2758, 19.4685, 20.7744, 22.4523
1, 1, 1.34955, 1.99325, 2.76643, 2.88394, 2.95901, 4.17286, 5.8689, 5.36291, 6.07892, 6.04486, 7.30892, 7.26672, 8.29393, 10.2954, 11.1707, 11.9344, 12.8518, 15.6585, 15.9754, 17.7079, 19.1039, 20.0174, 21.8111
1, 1, 1.30908, 1.84946, 2.82557, 2.80617, 2.56792, 3.4986, 5.60521, 5.00813, 5.46166, 5.52764, 6.93878, 6.8636, 7.23922, 9.15068, 10.3405, 10.6308, 12.0058, 14.7665, 15.0329, 16.7058, 18.4718, 19.2179, 20.8537
1, 1.48857, 1.23397, 1.87566, 2.78667, 2.72148, 2.56921, 3.52406, 5.39779, 4.90304, 4.87047, 4.82062, 6.40143, 5.74349, 6.7541, 8.75107, 9.22493, 9.48396, 11.5656, 14.065, 14.4863, 15.8588, 17.4553, 18.4561, 20.3725
1, 1.31138, 1.27739, 2.01867, 2.27052, 2.87482, 3.5349, 3.11343, 5.0562, 4.87456, 4.67821, 4.61923, 5.90426, 5.31703, 6.76646, 8.1105, 8.88042, 8.92027, 10.8555, 13.3548, 13.5595, 15.0134, 16.6022, 18.1199, 20.1098
1, 1.02651, 1.62005, 2.5621, 2.4187, 2.57714, 3.90527, 3.41781, 4.97372, 4.7069, 4.90727, 4.82655, 4.88472, 4.90773, 6.55041, 8.09186, 8.695, 8.02645, 10.6255, 12.163, 12.8345, 14.1742, 16.4168, 17.8116, 19.7951
1, 1, 1.63775, 3.09951, 2.28824, 2.55872, 3.95758, 3.75227, 4.48914, 4.46969, 4.63789, 4.81112, 4.68382, 4.60033, 6.28357, 7.36148, 8.01743, 7.29042, 10.1481, 11.0717, 11.8626, 13.7971, 15.67, 17.5406, 19.6102
1, 1.14175, 1.62665, 2.63228, 2.34818, 2.60923, 3.68293, 3.81699, 4.86292, 4.51057, 4.17759, 4.97464, 4.75267, 3.9184, 5.9233, 7.10116, 7.1768, 7.29174, 9.63051, 10.7933, 10.9839, 13.573, 14.7088, 16.7875, 19.0092
1, 1.23341, 1.70648, 3.53386, 2.07341, 2.77036, 3.1475, 3.31136, 5.06213, 4.0683, 3.94261, 4.64614, 4.52844, 3.64414, 6.32884, 7.17676, 6.80747, 7.17214, 9.04207, 10.3713, 11.2345, 13.0801, 14.6582, 16.5328, 18.7065
1, 1.33614, 1.91719, 2.92506, 2.47196, 2.44138, 2.78559, 3.2434, 4.59159, 4.17023, 3.72557, 4.76097, 4.7756, 4.10647, 5.72957, 6.68335, 6.30254, 6.76972, 8.94253, 10.1815, 10.9217, 12.6141, 14.0076, 16.249, 18.5725
1, 1.37906, 1.8377, 2.87067, 2.5753, 2.62776, 3.36709, 2.96706, 4.16802, 4.06061, 4.06704, 4.6591, 4.82162, 4.31755, 5.103, 6.52805, 6.59837, 6.95762, 8.41291, 9.71463, 10.3736, 11.8023, 13.1384, 15.5569, 18.1143
1, 1.30436, 1.84534, 2.53344, 2.57316, 2.50527, 3.16505, 3.28636, 4.21272, 4.69783, 4.20342, 4.66854, 5.07374, 4.26761, 4.97977, 6.46156, 6.12343, 6.89328, 8.51801, 8.94948, 9.93743, 11.8732, 12.7237, 14.7379, 17.9644
1, 1.30623, 1.68136, 2.82401, 2.62147, 2.67464, 2.87531, 3.25735, 3.97459, 4.82725, 4.23167, 4.5383, 4.79419, 4.0062, 4.77773, 6.00094, 6.23877, 7.05061, 7.99876, 8.22288, 10.0034, 11.5605, 12.5551, 13.6613, 17.9874
1, 1.47874, 1.7222, 2.93871, 2.72967, 2.70724, 2.93172, 3.32509, 4.28311, 4.66074, 4.4195, 4.62598, 4.57529, 3.71437, 4.69996, 5.4627, 6.30654, 6.82575, 7.96801, 8.13431, 9.89747, 11.0881, 12.1539, 13.4633, 17.8026
1, 1.16541, 1.87873, 2.78278, 2.88334, 2.63873, 3.20615, 3.42772, 4.02018, 4.70115, 4.53586, 4.65252, 4.38433, 3.44491, 4.74733, 5.47197, 6.06617, 6.92952, 7.58995, 8.11821, 9.55003, 10.8744, 12.0082, 13.2132, 17.5835
1, 1.20907, 1.68681, 2.44167, 2.91137, 2.6212, 3.48604, 3.51094, 3.90569, 4.62399, 4.49085, 4.52766, 4.39675, 3.52538, 5.33098, 5.2453, 5.94463, 6.82118, 7.61652, 8.24826, 8.87508, 10.8855, 11.2551, 12.3123, 17.0075
1, 1.48584, 1.52977, 2.06215, 3.02742, 2.73009, 3.50026, 3.48632, 4.15238, 4.39993, 4.17813, 4.45841, 4.21788, 3.55258, 5.05604, 5.46805, 5.77213, 6.50796, 7.43569, 8.09187, 9.14631, 10.8481, 11.3039, 12.2395, 16.8247
1, 1.51301, 1.50375, 2.29811, 2.78437, 2.78614, 3.24928, 3.59429, 4.10223, 4.17544, 4.2907, 4.42692, 4.06686, 3.63517, 5.0583, 5.49004, 5.67045, 6.49884, 7.72124, 7.69206, 10.3274, 10.2584, 11.0188, 11.993, 16.7384
1, 1.46473, 1.36185, 2.54454, 2.80693, 2.91112, 2.74186, 3.70277, 4.21375, 4.38407, 4.61465, 4.34826, 3.87358, 3.82597, 5.49126, 5.39983, 5.71415, 6.3507, 7.56235, 7.63559, 9.66546, 10.0648, 10.794, 12.2548, 16.7691
1, 1.4176, 1.18476, 2.29798, 2.74819, 2.82573, 2.81145, 3.66325, 4.28463, 4.30405, 4.57898, 4.24944, 3.7167, 3.90686, 5.52579, 5.25153, 5.68399, 6.18716, 7.43154, 7.51174, 9.30411, 10.2226, 10.8643, 12.5502, 16.6026
1, 1.21286, 1.28746, 2.451, 2.64674, 2.84082, 2.81587, 3.40024, 4.2471, 4.28515, 4.65757, 4.30726, 3.49695, 3.84731, 5.61397, 5.39952, 5.69024, 5.93525, 7.12487, 7.58071, 9.15931, 10.1426, 10.7611, 12.5105, 16.5519
1, 1.251, 1.40804, 2.47628, 2.537, 2.81302, 2.67048, 3.52304, 4.29894, 4.34623, 4.54881, 4.24037, 3.52288, 3.50363, 5.52631, 5.26425, 5.72376, 5.56456, 7.20025, 7.61179, 9.02702, 10.1067, 10.638, 12.5065, 16.4324
