1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25
1, 2.17156, 3.35852, 3.47488, 4.45606, 5.69116, 5.89712, 6.50265, 8.50659, 8.92635, 9.59281, 10.8078, 11.4178, 12.4943, 13.6048, 14.5632, 15.6035, 16.4159, 17.7317, 18.8169, 19.8934, 21.1389, 22.1839, 23.1398, 24.4684
1, 1.97349, 3.34295, 3.6587, 3.50215, 5.23946, 4.91375, 5.51391, 7.14639, 7.69029, 8.30582, 9.13286, 9.59023, 10.7732, 11.7395, 12.9849, 14.805, 15.2175, 16.3326, 17.7804, 18.8098, 19.9545, 21.4528, 22.3797, 23.8551
1, 2.05829, 2.28273, 3.04234, 3.7901, 4.44069, 4.60594, 4.78422, 6.49661, 7.57726, 7.39864, 7.94238, 9.06092, 9.35321, 10.7405, 11.7528, 13.9029, 13.6155, 15.1423, 16.5598, 18.2173, 18.8979, 20.7629, 21.7027, 22.8291
1, 1.14202, 3.00336, 3.23476, 3.48608, 3.91162, 4.8682, 4.9361, 5.89849, 6.79794, 6.1046, 7.11499, 8.09737, 8.15722, 9.60978, 10.4719, 12.8421, 12.2283, 13.6918, 15.0664, 17.2572, 17.8083, 19.2932, 20.6373, 22.2304
1, 1.2879, 2.15454, 3.46702, 2.79171, 3.37881, 4.07829, 4.74177, 6.0815, 6.1396, 5.76569, 6.298, 7.72667, 7.32371, 8.82704, 9.14476, 11.8008, 11.5503, 12.6484, 13.9102, 16.473, 16.9151, 18.5906, 19.5441, 21.5714
1, 1.78293, 1.00311, 4.06673, 2.84768, 3.41179, 3.22137, 4.4581, 6.014, 5.42973, 5.17472, 5.38728, 7.11948, 6.86426, 7.8989, 8.45573, 10.5857, 10.3868, 11.6016, 12.9488, 15.5236, 16.0325, 17.6043, 19.0315, 20.7055
1, 1.09623, 1.68653, 3.09644, 3.79839, 3.6756, 3.06335, 4.13872, 5.61227, 4.55343, 5.04348, 4.94727, 6.59001, 6.26381, 7.42344, 7.34407, 10.0679, 10.4003, 11.1487, 12.03, 14.7249, 14.8215, 16.7602, 18.5659, 20.0451
1, 1.54109, 1.72557, 2.89015, 3.39203, 3.60563, 2.83149, 3.66281, 5.55942, 4.84339, 4.5767, 4.35009, 6.53564, 5.46215, 6.78531, 6.80334, 9.3573, 9.93979, 10.0635, 11.3161, 13.6957, 13.8216, 16.1071, 17.4966, 19.9294
1, 2.69124, 1.34613, 2.62811, 2.92918, 3.58034, 3.58726, 3.45282, 5.56395, 4.14268, 4.72669, 4.11471, 6.57991, 5.50988, 6.04419, 6.79758, 8.54111, 9.2407, 8.97607, 10.2246, 12.8176, 12.7283, 15.1585, 17.1978, 19.2263
1, 1, 1.52834, 2.26957, 3.07943, 3.42353, 4.13974, 3.23714, 5.23232, 3.84412, 4.5107, 4.61153, 6.34678, 5.28893, 5.64565, 6.53754, 7.90685, 8.63844, 8.7583, 9.70674, 12.354, 12.4848, 14.2267, 16.3844, 18.8289
1, 1.15438, 1.2409, 2.87789, 3.20293, 3.37652, 3.55192, 2.87177, 5.117, 3.53839, 4.73365, 4.09576, 5.62332, 4.8158, 5.69095, 6.41975, 8.12605, 8.12295, 8.42145, 9.61211, 11.5793, 11.9258, 14.0084, 15.7449, 18.634
1, 1.87638, 1.38349, 2.54157, 3.3778, 3.11269, 2.95517, 2.68111, 4.96785, 3.62535, 4.7021, 3.29042, 5.25855, 4.78409, 5.40438, 6.72207, 8.17774, 7.61336, 7.50897, 9.6167, 11.5782, 11.3635, 13.0141, 14.9148, 18.3914
1, 1.74286, 1.04459, 2.80489, 3.30845, 2.66207, 2.99092, 3.17637, 4.55455, 3.38511, 4.79213, 3.61811, 4.70748, 4.89887, 5.70104, 6.63093, 8.04651, 6.90529, 7.96318, 9.4661, 10.7814, 10.5226, 13.0723, 14.4625, 17.9458
1, 2.24367, 1.27285, 2.26555, 3.10318, 2.06296, 2.76388, 3.2468, 4.57405, 3.17791, 4.6238, 3.55982, 4.27173, 4.7453, 5.15722, 6.49069, 7.52396, 6.22496, 7.49294, 9.72689, 10.1907, 11.31, 12.398, 14.309, 17.3816
1, 1.38191, 1.55387, 2.39718, 3.64432, 1.99571, 2.88678, 2.9102, 4.36354, 3.72237, 4.20467, 3.61875, 4.22983, 4.83274, 5.07921, 6.29977, 6.95506, 5.59228, 7.09942, 9.30211, 9.90254, 11.1948, 11.8423, 14.0582, 16.7603
1, 1.51573, 1.82107, 2.10483, 3.60443, 2.62204, 2.74841, 2.86042, 4.15502, 3.97272, 4.51038, 3.66551, 4.02073, 4.54876, 4.95242, 6.38476, 6.81191, 5.02285, 6.8707, 9.15472, 9.95538, 11.0913, 11.0797, 13.2208, 16.5168
1, 1.16527, 1.5325, 2.42017, 3.25238, 2.79008, 2.69567, 2.9889, 3.9301, 3.7433, 4.3828, 4.17245, 3.97216, 4.79216, 5.19158, 6.69568, 6.50857, 5.02238, 6.56355, 8.70545, 10.1064, 10.3087, 11.0113, 12.8657, 16.308
1, 1.53172, 1.11491, 2.27063, 2.91919, 2.62715, 2.76978, 2.92848, 4.29455, 3.79712, 3.93675, 3.91753, 3.73912, 4.66477, 5.1257, 6.29809, 6.23673, 5.24924, 5.51708, 8.63869, 9.5229, 10.5571, 10.3465, 12.2314, 16.1842
1, 1.42156, 1.19193, 2.23594, 2.56827, 2.78733, 2.77691, 3.20773, 4.05224, 4.37853, 3.78361, 3.67617, 4.23664, 4.33813, 5.04043, 6.18865, 5.79937, 5.14834, 6.66053, 8.29499, 9.08966, 9.97783, 10.1104, 11.633, 16.1099
1, 1.0692, 1.35432, 2.35491, 2.72583, 2.37114, 2.82521, 3.21347, 4.12962, 4.24906, 3.54046, 3.31103, 4.26971, 4.40273, 5.05679, 6.27857, 5.26178, 4.79559, 6.7083, 8.40656, 8.96418, 10.0167, 10.4239, 10.6041, 15.8907
1, 1, 1.80646, 2.41271, 2.73788, 2.7728, 3.10975, 3.11569, 3.89929, 4.22333, 3.32508, 3.01981, 4.08456, 4.5348, 4.95798, 6.39681, 4.80277, 4.88788, 7.52181, 8.3057, 8.9865, 9.64091, 10.7788, 11.0548, 15.6518
1, 1.0169, 1.68672, 2.29102, 3.22775, 2.84135, 3.01934, 2.86059, 3.76404, 4.20835, 3.40236, 2.94177, 4.04177, 4.74065, 5.04503, 6.0426, 5.29856, 5.15062, 6.99814, 8.44753, 8.9767, 9.35445, 10.4108, 10.5861, 15.0933
