agem,serotype,freq
3,"6A",4
3,"6B",3
3,"9V",1
3,"15C",1
3,"19F",4
3,"22A",1
3,"23B",2
3,"23F",1
3,"33B",1
4,"3",1
4,"6A",3
4,"6B",3
4,"9V",1
4,"10A",2
4,"11A",3
4,"14",2
4,"15A",1
4,"15B",2
4,"15C",1
4,"16F",1
4,"18C",1
4,"19F",4
4,"20",1
4,"23A",1
4,"23B",4
4,"23F",1
4,"35B",1
4,"35F",1
5,"6A",4
5,"6B",3
5,"9V",1
5,"11A",3
5,"13",2
5,"14",2
5,"15A",1
5,"16F",1
5,"19B",1
5,"19F",2
5,"23B",1
5,"23F",3
5,"33B",1
5,"35B",1
6,"4",1
6,"6A",3
6,"6B",3
6,"9V",2
6,"10A",1
6,"11A",2
6,"13",2
6,"14",1
6,"15A",1
6,"15B",1
6,"16F",1
6,"19A",1
6,"19F",8
6,"23B",1
6,"23F",1
6,"28F",1
6,"33D",1
6,"35B",2
7,"4",1
7,"6A",6
7,"6B",2
7,"9V",1
7,"10A",3
7,"11A",1
7,"13",1
7,"14",4
7,"15B",1
7,"15C",2
7,"19A",4
7,"19C",1
7,"19F",11
7,"23A",1
7,"33C",1
7,"35A",1
7,"35B",3
8,"6A",3
8,"6B",1
8,"9V",1
8,"10A",3
8,"13",1
8,"15B",1
8,"15C",1
8,"16F",1
8,"18C",1
8,"19F",4
8,"23B",1
8,"23F",6
8,"35B",3
9,"1",1
9,"6A",5
9,"6B",7
9,"9V",2
9,"13",1
9,"15B",2
9,"15C",1
9,"15F",1
9,"19A",1
9,"19F",4
9,"22A",1
9,"23B",3
9,"23F",3
9,"34",1
9,"35F",1
10,"6A",8
10,"6B",4
10,"7C",1
10,"11A",5
10,"13",2
10,"14",2
10,"15A",1
10,"15B",1
10,"15C",3
10,"19F",8
10,"20",1
10,"23B",1
10,"23F",4
10,"33B",1
11,"3",1
11,"6A",7
11,"6B",3
11,"7C",2
11,"9V",1
11,"13",2
11,"14",2
11,"15B",1
11,"15C",2
11,"16F",1
11,"19A",1
11,"19F",9
11,"20",2
11,"21",1
11,"23F",1
11,"35B",4
12,"4",1
12,"6A",6
12,"6B",4
12,"7C",1
12,"9V",1
12,"11A",2
12,"12B",1
12,"14",1
12,"15A",3
12,"15C",2
12,"16F",1
12,"19F",4
12,"23F",2
12,"28F",1
12,"33B",1
12,"34",1
13,"3",1
13,"6A",7
13,"6B",5
13,"9V",1
13,"10A",2
13,"11A",1
13,"13",5
13,"14",2
13,"15B",2
13,"19A",2
13,"19F",7
13,"20",2
13,"21",1
13,"23B",1
13,"23F",3
13,"29",1
13,"34",1
13,"35B",2
14,"6A",5
14,"6B",3
14,"10A",3
14,"11A",1
14,"13",3
14,"15C",1
14,"18F",1
14,"19A",1
14,"19F",9
14,"23A",1
14,"23B",1
14,"23F",3
14,"34",1
14,"35B",1
14,"38",1
15,"6A",4
15,"6B",2
15,"7C",1
15,"8",1
15,"9V",2
15,"10A",1
15,"11A",2
15,"13",1
15,"14",3
15,"15B",2
15,"15C",1
15,"16F",1
15,"19A",4
15,"19F",4
15,"20",1
15,"23A",1
15,"23B",1
15,"23F",3
15,"34",1
15,"35A",1
15,"35B",1
16,"6A",7
16,"6B",4
16,"9V",2
16,"11A",2
16,"14",7
16,"15A",2
16,"18C",1
16,"19B",1
16,"19F",5
16,"21",1
16,"23A",1
16,"23F",2
16,"35B",2
17,"3",1
17,"6A",1
17,"6B",7
17,"7C",1
17,"9V",1
17,"11A",1
17,"14",4
17,"15A",2
17,"15B",1
17,"15C",2
17,"19A",1
17,"19B",1
17,"19F",11
17,"23B",1
17,"23F",1
17,"35B",1
18,"1",1
18,"4",1
18,"6A",4
18,"6B",1
18,"7C",1
18,"9V",2
18,"10A",1
18,"11A",2
18,"13",3
18,"14",1
18,"15C",1
