Collection_Year,Serotype,Number_of_Serotypes,Age_Years
2001,,6,1. <=1 year
2001,,12,2. 1> - <=2 years
2001,,3,3. 2> - <=3 years
2001,,5,4. 3> - <=4 years
2001,,2,5. 4> - <=5 years
2001,,5,6. 5> - <=6 years
2001,,2,7. 6> - <=7 years
2001,10,2,1. <=1 year
2001,10,1,2. 1> - <=2 years
2001,11A,1,1. <=1 year
2001,11A,1,2. 1> - <=2 years
2001,11A,5,3. 2> - <=3 years
2001,11A,1,4. 3> - <=4 years
2001,11A,1,5. 4> - <=5 years
2001,11A,1,6. 5> - <=6 years
2001,14,1,1. <=1 year
2001,14,1,2. 1> - <=2 years
2001,14,2,4. 3> - <=4 years
2001,14,3,6. 5> - <=6 years
2001,15A,1,2. 1> - <=2 years
2001,15B/C,4,1. <=1 year
2001,15B/C,1,2. 1> - <=2 years
2001,15B/C,3,5. 4> - <=5 years
2001,15B/C,2,6. 5> - <=6 years
2001,15F,1,2. 1> - <=2 years
2001,18C,1,1. <=1 year
2001,18C,1,2. 1> - <=2 years
2001,18C,1,3. 2> - <=3 years
2001,18C,1,7. 6> - <=7 years
2001,19A,1,1. <=1 year
2001,19A,3,2. 1> - <=2 years
2001,19A,1,3. 2> - <=3 years
2001,19A,1,4. 3> - <=4 years
2001,19A,1,5. 4> - <=5 years
2001,19A,2,6. 5> - <=6 years
2001,19F,3,1. <=1 year
2001,19F,4,2. 1> - <=2 years
2001,19F,4,3. 2> - <=3 years
2001,19F,1,5. 4> - <=5 years
2001,19F,1,7. 6> - <=7 years
2001,22F,2,3. 2> - <=3 years
2001,22F,2,5. 4> - <=5 years
2001,22F,1,6. 5> - <=6 years
2001,23A,1,2. 1> - <=2 years
2001,23A,1,4. 3> - <=4 years
2001,23B,1,1. <=1 year
2001,23B,1,4. 3> - <=4 years
2001,23F,3,1. <=1 year
2001,23F,3,2. 1> - <=2 years
2001,23F,4,3. 2> - <=3 years
2001,23F,3,4. 3> - <=4 years
2001,23F,1,6. 5> - <=6 years
2001,25A,1,7. 6> - <=7 years
2001,3,1,3. 2> - <=3 years
2001,3,1,4. 3> - <=4 years
2001,31,1,1. <=1 year
2001,31,1,6. 5> - <=6 years
2001,33,1,7. 6> - <=7 years
2001,34,1,2. 1> - <=2 years
2001,34,1,3. 2> - <=3 years
2001,35A/B,1,2. 1> - <=2 years
2001,35B,2,2. 1> - <=2 years
2001,35B,1,4. 3> - <=4 years
2001,35B,1,5. 4> - <=5 years
2001,35F,1,1. <=1 year
2001,35F,1,3. 2> - <=3 years
2001,38,1,2. 1> - <=2 years
2001,4,1,4. 3> - <=4 years
2001,4,1,5. 4> - <=5 years
2001,6A,4,1. <=1 year
2001,6A,7,2. 1> - <=2 years
2001,6A,2,3. 2> - <=3 years
2001,6A,6,4. 3> - <=4 years
2001,6A,3,5. 4> - <=5 years
2001,6A,2,6. 5> - <=6 years
2001,6B,4,1. <=1 year
2001,6B,3,2. 1> - <=2 years
2001,6B,1,4. 3> - <=4 years
2001,6B,3,5. 4> - <=5 years
2001,6B,2,6. 5> - <=6 years
2001,6B,1,7. 6> - <=7 years
2001,6C,1,4. 3> - <=4 years
2001,6C,1,5. 4> - <=5 years
2001,6C,1,6. 5> - <=6 years
2001,7,1,1. <=1 year
2001,9A,2,1. <=1 year
2001,9A,1,2. 1> - <=2 years
2001,9A,1,5. 4> - <=5 years
2001,9N,1,1. <=1 year
2001,9N,1,4. 3> - <=4 years
2001,9N,1,7. 6> - <=7 years
2001,NT,1,3. 2> - <=3 years
2001,NT,2,5. 4> - <=5 years
2004,,1,1. <=1 year
2004,,2,2. 1> - <=2 years
2004,,2,3. 2> - <=3 years
2004,,2,4. 3> - <=4 years
2004,10A,2,1. <=1 year
2004,10A,2,3. 2> - <=3 years
2004,10A,1,4. 3> - <=4 years
2004,10A,1,5. 4> - <=5 years
2004,10A,1,6. 5> - <=6 years
2004,11A,3,1. <=1 year
2004,11A,2,2. 1> - <=2 years
2004,11A,3,3. 2> - <=3 years
2004,11A,8,4. 3> - <=4 years
2004,11A,1,5. 4> - <=5 years
2004,11A,1,6. 5> - <=6 years
2004,14,1,1. <=1 year
2004,14,1,3. 2> - <=3 years
2004,15A,2,2. 1> - <=2 years
2004,15A,4,3. 2> - <=3 years
2004,15A,1,4. 3> - <=4 years
2004,15A,1,5. 4> - <=5 years
2004,15A,5,6. 5> - <=6 years
2004,15A,1,7. 6> - <=7 years
2004,15B/C,3,1. <=1 year
2004,15B/C,4,2. 1> - <=2 years
2004,15B/C,5,3. 2> - <=3 years
2004,15B/C,2,4. 3> - <=4 years
2004,15B/C,2,5. 4> - <=5 years
2004,15B/C,3,6. 5> - <=6 years
2004,15F,1,1. <=1 year
2004,16F,1,5. 4> - <=5 years
2004,16F,1,7. 6> - <=7 years
2004,17F,1,1. <=1 year
2004,18C,1,2. 1> - <=2 years
2004,18C,1,5. 4> - <=5 years
2004,19A,10,1. <=1 year
2004,19A,6,2. 1> - <=2 years
2004,19A,5,3. 2> - <=3 years
2004,19A,1,4. 3> - <=4 years
2004,19A,3,5. 4> - <=5 years
2004,19F,3,1. <=1 year
2004,19F,7,2. 1> - <=2 years
2004,19F,4,3. 2> - <=3 years
2004,19F,1,4. 3> - <=4 years
2004,19F,1,5. 4> - <=5 years
2004,19F,2,6. 5> - <=6 years
2004,19F,2,7. 6> - <=7 years
2004,21,1,1. <=1 year
2004,22F,2,2. 1> - <=2 years
2004,22F,3,3. 2> - <=3 years
2004,22F,1,5. 4> - <=5 years
2004,22F,1,6. 5> - <=6 years
2004,22F,2,7. 6> - <=7 years
2004,23A,1,1. <=1 year
2004,23A,5,2. 1> - <=2 years
2004,23A,3,3. 2> - <=3 years
2004,23A,1,4. 3> - <=4 years
2004,23A,2,6. 5> - <=6 years
2004,23A,1,7. 6> - <=7 years
2004,23B,1,3. 2> - <=3 years
2004,23B,1,4. 3> - <=4 years
2004,23B,3,5. 4> - <=5 years
2004,23B,1,6. 5> - <=6 years
2004,23F,1,3. 2> - <=3 years
2004,23F,1,4. 3> - <=4 years
2004,23F,2,7. 6> - <=7 years
2004,25A,1,3. 2> - <=3 years
2004,3,1,1. <=1 year
2004,3,2,2. 1> - <=2 years
2004,3,2,3. 2> - <=3 years
2004,3,1,7. 6> - <=7 years
2004,31,1,2. 1> - <=2 years
2004,33F,1,3. 2> - <=3 years
2004,33F,1,6. 5> - <=6 years
2004,34,1,1. <=1 year
2004,34,2,3. 2> - <=3 years
2004,35B,5,1. <=1 year
2004,35B,5,2. 1> - <=2 years
2004,35B,1,3. 2> - <=3 years
2004,35B,4,4. 3> - <=4 years
2004,35B,3,5. 4> - <=5 years
2004,35F,5,2. 1> - <=2 years
2004,35F,1,4. 3> - <=4 years
2004,35F,1,6. 5> - <=6 years
2004,37,1,4. 3> - <=4 years
2004,38,1,2. 1> - <=2 years
2004,6A,3,1. <=1 year
2004,6A,6,2. 1> - <=2 years
2004,6A,3,3. 2> - <=3 years
2004,6A,2,4. 3> - <=4 years
2004,6A,2,5. 4> - <=5 years
2004,6A,1,6. 5> - <=6 years
2004,6B,2,2. 1> - <=2 years
2004,6B,1,5. 4> - <=5 years
2004,6B,1,6. 5> - <=6 years
2004,6B,1,7. 6> - <=7 years
2004,6C,2,1. <=1 year
2004,6C,2,2. 1> - <=2 years
2004,6C,1,5. 4> - <=5 years
2004,6C,2,6. 5> - <=6 years
2004,7F,1,4. 3> - <=4 years
2004,7F,1,5. 4> - <=5 years
2004,9A,1,5. 4> - <=5 years
2004,9V,1,6. 5> - <=6 years
2004,NT,1,1. <=1 year
2004,NT,3,2. 1> - <=2 years
2004,Pool I,1,2. 1> - <=2 years
2004,Pool I,1,4. 3> - <=4 years
2007,10A,2,1. <=1 year
2007,10A,2,2. 1> - <=2 years
2007,10A,3,3. 2> - <=3 years
2007,10A,1,6. 5> - <=6 years
2007,11A,6,1. <=1 year
2007,11A,7,2. 1> - <=2 years
2007,11A,5,3. 2> - <=3 years
2007,11A,4,4. 3> - <=4 years
2007,11A,3,5. 4> - <=5 years
2007,11A,1,7. 6> - <=7 years
2007,15A,2,1. <=1 year
2007,15A,5,2. 1> - <=2 years
2007,15A,1,3. 2> - <=3 years
2007,15A,2,4. 3> - <=4 years
2007,15A,2,6. 5> - <=6 years
2007,15A,1,7. 6> - <=7 years
2007,15B/C,3,1. <=1 year
2007,15B/C,8,2. 1> - <=2 years
2007,15B/C,7,3. 2> - <=3 years
2007,15B/C,4,4. 3> - <=4 years
2007,15B/C,5,5. 4> - <=5 years
2007,15B/C,2,6. 5> - <=6 years
2007,15B/C,1,7. 6> - <=7 years
2007,15F,1,1. <=1 year
2007,15F,1,3. 2> - <=3 years
2007,15F,1,5. 4> - <=5 years
2007,16F,1,1. <=1 year
2007,16F,2,2. 1> - <=2 years
2007,16F,1,3. 2> - <=3 years
2007,16F,1,4. 3> - <=4 years
2007,16F,2,5. 4> - <=5 years
2007,16F,1,6. 5> - <=6 years
2007,17F,1,1. <=1 year
2007,17F,2,3. 2> - <=3 years
2007,17F,1,5. 4> - <=5 years
2007,19A,15,1. <=1 year
2007,19A,14,2. 1> - <=2 years
2007,19A,6,3. 2> - <=3 years
2007,19A,5,4. 3> - <=4 years
2007,19A,2,5. 4> - <=5 years
2007,19A,3,6. 5> - <=6 years
2007,19A,1,7. 6> - <=7 years
2007,19F,3,1. <=1 year
2007,19F,1,2. 1> - <=2 years
2007,19F,1,3. 2> - <=3 years
2007,19F,2,4. 3> - <=4 years
2007,21,1,1. <=1 year
2007,22F,2,1. <=1 year
2007,22F,2,2. 1> - <=2 years
2007,22F,1,3. 2> - <=3 years
2007,22F,2,6. 5> - <=6 years
2007,23A,7,1. <=1 year
2007,23A,5,2. 1> - <=2 years
2007,23A,2,3. 2> - <=3 years
2007,23A,4,4. 3> - <=4 years
2007,23A,2,5. 4> - <=5 years
2007,23B,6,1. <=1 year
2007,23B,5,2. 1> - <=2 years
2007,23B,3,3. 2> - <=3 years
2007,23B,1,4. 3> - <=4 years
2007,23B,1,5. 4> - <=5 years
2007,23F,1,1. <=1 year
2007,3,1,1. <=1 year
2007,3,1,2. 1> - <=2 years
2007,3,1,6. 5> - <=6 years
2007,31,1,2. 1> - <=2 years
2007,31,1,3. 2> - <=3 years
2007,31,1,5. 4> - <=5 years
2007,33A,1,7. 6> - <=7 years
2007,33F,1,1. <=1 year
2007,34,1,5. 4> - <=5 years
2007,34,1,7. 6> - <=7 years
2007,35B,12,1. <=1 year
2007,35B,9,2. 1> - <=2 years
2007,35B,1,3. 2> - <=3 years
2007,35B,3,4. 3> - <=4 years
2007,35B,1,5. 4> - <=5 years
2007,35B,1,7. 6> - <=7 years
2007,35F,5,1. <=1 year
2007,35F,1,2. 1> - <=2 years
2007,35F,2,3. 2> - <=3 years
2007,35F,1,7. 6> - <=7 years
